Ammersee — 2026-08-02
  dominant gradient; peak 6 kn (2 Bft) E ~16h
  Hour | Dir  | Mean kn (Bft) | Gust kn | Regime   | Conf | Note
  00   | SSE  |     2.9 (1) |   6.6   | gradient | med  | raw (no local calib yet)
  01   | ESE  |     2.9 (1) |   5.4   | gradient | med  | raw (no local calib yet)
  02   | NE   |     2.7 (1) |   5.8   | gradient | med  | raw (no local calib yet)
  03   | ENE  |     3.2 (1) |   6.4   | gradient | med  | raw (no local calib yet)
  04   | ENE  |     5.2 (2) |  10.7   | gradient | med  | raw (no local calib yet)
  05   | ENE  |     5.2 (2) |  11.5   | gradient | med  | raw (no local calib yet)
  06   | NE   |     4.4 (2) |  10.9   | gradient | med  | raw (no local calib yet)
  07   | ENE  |     4.4 (2) |   9.3   | gradient | med  | raw (no local calib yet)
  08   | ENE  |     3.7 (1) |   9.5   | gradient | med  | raw (no local calib yet)
  09   | E    |     4.5 (2) |  10.1   | gradient | med  | raw (no local calib yet)
  10   | E    |     5.5 (2) |  12.1   | gradient | med  | raw (no local calib yet)
  11   | ENE  |     5.7 (2) |  12.8   | gradient | med  | raw (no local calib yet)
  12   | ENE  |     5.8 (2) |  14.0   | gradient | med  | raw (no local calib yet)
  13   | E    |     6.1 (2) |  13.6   | gradient | med  | raw (no local calib yet)
  14   | E    |     5.7 (2) |  13.0   | gradient | med  | raw (no local calib yet)
  15   | ENE  |     6.2 (2) |  13.8   | gradient | med  | raw (no local calib yet)
  16   | E    |     6.3 (2) |  13.2   | thermal  | med  | raw (no local calib yet)
  17   | E    |     6.3 (2) |  14.0   | gradient | med  | raw (no local calib yet)
  18   | ESE  |     4.9 (2) |  12.8   | gradient | med  | raw (no local calib yet)
  19   | ESE  |     5.3 (2) |  11.3   | gradient | med  | raw (no local calib yet)
  20   | SE   |     4.9 (2) |  11.7   | gradient | med  | raw (no local calib yet)
  21   | ESE  |     4.2 (2) |   8.6   | gradient | med  | raw (no local calib yet)
  22   | ESE  |     3.2 (1) |   7.8   | gradient | med  | raw (no local calib yet)
  23   | ESE  |     3.9 (1) |   8.0   | gradient | med  | raw (no local calib yet)
