Ammersee — 2026-08-06
  dominant gradient; peak 9.7 kn (3 Bft) SSE ~21h · gusts to 11.5 kn ~13h
  Hour | Dir  | Mean kn (Bft) | Gust kn | Regime   | Conf | Note
  00   | S    |     5.0 (2) |  10.7   | gradient | med  | raw (no local calib yet)
  01   | SSW  |     4.3 (2) |   9.8   | gradient | med  | raw (no local calib yet)
  02   | W    |     3.7 (1) |   8.9   | gradient | med  | raw (no local calib yet)
  03   | ESE  |     1.6 (1) |   9.3   | calm     | med  | glassy
  04   | SSE  |     2.6 (1) |   4.9   | gradient | med  | raw (no local calib yet)
  05   | S    |     2.8 (1) |   6.7   | gradient | med  | raw (no local calib yet)
  06   | SSE  |     5.5 (2) |   7.8   | gradient | med  | raw (no local calib yet)
  07   | SSW  |     6.7 (2) |   9.4   | gradient | high | 
  08   | NW   |     6.0 (2) |   8.4   | gradient | med  | raw (no local calib yet)
  09   | NW   |     3.1 (1) |   8.5   | gradient | med  | raw (no local calib yet)
  10   | NW   |     3.6 (1) |   6.8   | gradient | med  | raw (no local calib yet)
  11   | NW   |     5.5 (2) |   9.4   | gradient | med  | raw (no local calib yet)
  12   | NW   |     5.2 (2) |  11.1   | gradient | med  | raw (no local calib yet)
  13   | NNW  |     4.8 (2) |  11.5   | gradient | med  | raw (no local calib yet)
  14   | NNW  |     4.0 (2) |  10.6   | gradient | med  | raw (no local calib yet)
  15   | NNW  |     3.7 (1) |   9.4   | gradient | med  | raw (no local calib yet)
  16   | WNW  |     3.5 (1) |   8.8   | gradient | med  | raw (no local calib yet)
  17   | WSW  |     2.8 (1) |   8.3   | gradient | med  | raw (no local calib yet)
  18   | S    |     7.1 (3) |   8.5   | gradient | high | 
  19   | S    |     6.2 (2) |   6.2   | gradient | high | 
  20   | S    |     8.1 (3) |   8.9   | gradient | high | 
  21   | SSE  |     9.7 (3) |   9.7   | gradient | high | 
  22   | S    |     7.2 (3) |   8.1   | gradient | high | 
  23   | SSE  |     6.4 (2) |   7.3   | gradient | high | 
