Ammersee — 2026-08-07
  dominant gradient; peak 13.3 kn (4 Bft) NE ~14h · gusts to 14.6 kn ~15h
  Hour | Dir  | Mean kn (Bft) | Gust kn | Regime   | Conf | Note
  00   | SSE  |     1.7 (1) |   4.4   | calm     | med  | glassy
  01   | ENE  |     1.5 (1) |   3.7   | calm     | med  | glassy
  02   | NNW  |     4.1 (2) |   7.9   | gradient | med  | raw (no local calib yet)
  03   | NE   |     2.8 (1) |   8.2   | gradient | med  | raw (no local calib yet)
  04   | ENE  |     2.6 (1) |   5.9   | gradient | med  | raw (no local calib yet)
  05   | NNW  |     2.6 (1) |   5.0   | gradient | med  | raw (no local calib yet)
  06   | N    |     6.4 (2) |   6.4   | gradient | high | 
  07   | NNW  |     6.6 (2) |   7.0   | gradient | high | 
  08   | N    |     5.8 (2) |   6.3   | gradient | high | 
  09   | NNE  |     4.4 (2) |   5.5   | gradient | med  | raw (no local calib yet)
  10   | NE   |     6.4 (2) |   7.6   | gradient | med  | raw (no local calib yet)
  11   | NE   |     6.0 (2) |   8.2   | gradient | med  | raw (no local calib yet)
  12   | NNE  |     5.1 (2) |  10.9   | gradient | med  | raw (no local calib yet)
  13   | NNE  |    11.4 (4) |  12.8   | thermal  | high | 
  14   | NE   |    13.3 (4) |  14.4   | thermal  | high | 
  15   | NNE  |    13.0 (4) |  14.6   | thermal  | high | 
  16   | NNE  |    11.5 (4) |  12.5   | thermal  | high | 
  17   | NE   |     7.5 (3) |  11.5   | gradient | med  | raw (no local calib yet)
  18   | NE   |    10.0 (3) |  11.4   | gradient | high | 
  19   | NNE  |     6.6 (2) |   9.0   | gradient | high | 
  20   | NE   |     7.2 (3) |   9.6   | gradient | high | 
  21   | E    |     8.5 (3) |   8.5   | gradient | high | 
  22   | E    |     7.6 (3) |   7.6   | gradient | high | 
  23   | ESE  |     8.3 (3) |   8.4   | gradient | high | 
