Kochelsee — 2026-08-02
  dominant thermal; peak 14 kn (4 Bft) SSW ~18h
  Hour | Dir  | Mean kn (Bft) | Gust kn | Regime   | Conf | Note
  00   | SE   |     3.4 (1) |   5.0   | gradient | med  | raw (no local calib yet)
  01   | NNE  |     1.8 (1) |   3.5   | calm     | med  | cold-pool capped Δθ+2.5
  02   | ENE  |     3.2 (1) |   4.9   | gradient | med  | raw (no local calib yet)
  03   | ENE  |     1.9 (1) |   3.6   | gradient | med  | raw (no local calib yet)
  04   | NE   |     1.4 (1) |   3.7   | calm     | med  | cold-pool capped Δθ+3.3
  05   | E    |     1.2 (1) |   4.7   | calm     | med  | cold-pool capped Δθ+3.1
  06   | SSE  |     1.2 (1) |   2.3   | calm     | med  | cold-pool capped Δθ+3.0
  07   | N    |     1.8 (1) |   3.8   | calm     | med  | cold-pool capped Δθ+4.0
  08   | N    |     1.4 (1) |   3.4   | calm     | med  | cold-pool capped Δθ+3.5
  09   | NNW  |     1.4 (1) |   4.1   | calm     | med  | cold-pool capped Δθ+2.4
  10   | N    |     1.4 (1) |   4.8   | thermal  | med  | raw (no local calib yet) Δθ+1.5
  11   | N    |     2.0 (1) |   5.8   | thermal  | med  | raw (no local calib yet) Δθ+0.7
  12   | N    |     4.2 (2) |   8.7   | gradient | med  | raw (no local calib yet)
  13   | N    |     5.6 (2) |  10.8   | gradient | med  | raw (no local calib yet)
  14   | NNE  |     7.0 (3) |  10.1   | thermal  | med  | raw (no local calib yet) Δθ-0.7
  15   | NE   |     8.5 (3) |  12.1   | thermal  | med  | raw (no local calib yet) Δθ-0.7
  16   | NE   |     8.2 (3) |  12.2   | thermal  | med  | raw (no local calib yet) Δθ-0.7
  17   | NE   |     7.3 (3) |  13.2   | gradient | med  | raw (no local calib yet)
  18   | SSW  |    14.5 (4) |  23.7   | gradient | low  | raw (no local calib yet)
  19   | SSE  |     6.8 (2) |  33.8   | gradient | low  | raw (no local calib yet)
  20   | S    |     5.7 (2) |  12.8   | gradient | med  | raw (no local calib yet)
  21   | S    |     2.8 (1) |   8.0   | gradient | med  | raw (no local calib yet)
  22   | NE   |     1.0 (1) |   4.9   | calm     | med  | glassy Δθ-0.8
  23   | NE   |     1.0 (1) |   2.4   | calm     | med  | glassy Δθ+1.2
