Kochelsee — 2026-08-04
  dominant thermal; peak 6.7 kn (2 Bft) SSE ~00h · gusts to 14.1 kn ~18h  FOEHN 00-04h (Kesselberg fall-wind)
  Hour | Dir  | Mean kn (Bft) | Gust kn | Regime   | Conf | Note
  00   | SSE  |     6.7 (2) |  11.7   | foehn    | low  | raw (no local calib yet) fg-0.6 unconfirmed @Peißenberg (WSW 7kn)
  01   | SSE  |     5.0 (2) |  11.1   | foehn    | low  | raw (no local calib yet) fg+0.0 unconfirmed @Peißenberg (WSW 7kn)
  02   | S    |     6.5 (2) |  11.2   | foehn    | low  | raw (no local calib yet) fg-0.3 unconfirmed @Peißenberg (WSW 7kn)
  03   | SSW  |     3.6 (1) |   9.2   | foehn    | low  | raw (no local calib yet) fg-0.3 unconfirmed @Peißenberg (WSW 7kn)
  04   | SW   |     2.2 (1) |   6.7   | foehn    | low  | raw (no local calib yet) fg+0.0 unconfirmed @Peißenberg (WSW 7kn)
  05   | NNE  |     1.4 (1) |   4.3   | calm     | med  | glassy
  06   | SSE  |     1.3 (1) |   4.2   | calm     | med  | glassy
  07   | N    |     1.8 (1) |   6.6   | calm     | med  | glassy
  08   | NNW  |     1.5 (1) |   5.6   | calm     | med  | glassy
  09   | W    |     1.8 (1) |   6.4   | thermal  | med  | raw (no local calib yet)
  10   | SSE  |     3.5 (1) |   8.3   | calm     | med  | glassy
  11   | NW   |     0.8 (0) |   3.9   | calm     | med  | glassy
  12   | NW   |     3.1 (1) |   9.0   | thermal  | med  | raw (no local calib yet)
  13   | NNW  |     2.1 (1) |   5.8   | thermal  | med  | raw (no local calib yet)
  14   | N    |     2.0 (1) |   6.2   | thermal  | med  | raw (no local calib yet)
  15   | NNE  |     2.5 (1) |   5.6   | thermal  | med  | raw (no local calib yet)
  16   | NNE  |     3.2 (1) |   6.2   | gradient | med  | raw (no local calib yet)
  17   | NNE  |     3.4 (1) |   7.3   | thermal  | med  | raw (no local calib yet)
  18   | NE   |     4.0 (2) |  14.1   | gradient | low  | raw (no local calib yet)
  19   | S    |     3.5 (1) |  13.9   | gradient | med  | raw (no local calib yet)
  20   | S    |     4.7 (2) |  12.2   | gradient | med  | raw (no local calib yet)
  21   | SSE  |     4.2 (2) |   8.9   | gradient | med  | raw (no local calib yet)
  22   | SSE  |     3.5 (1) |  10.0   | gradient | med  | raw (no local calib yet)
  23   | ESE  |     3.5 (1) |   8.8   | gradient | med  | raw (no local calib yet)
