Kochelsee — 2026-08-05
  dominant thermal; peak 9.8 kn (3 Bft) SSE ~20h · gusts to 26.4 kn ~20h
  Hour | Dir  | Mean kn (Bft) | Gust kn | Regime   | Conf | Note
  00   | NE   |     2.6 (1) |   7.5   | gradient | med  | raw (no local calib yet)
  01   | SSE  |     1.7 (1) |   5.9   | calm     | med  | glassy Δθ+0.3
  02   | SSE  |     2.2 (1) |   5.0   | gradient | med  | raw (no local calib yet)
  03   | SSE  |     1.8 (1) |   4.8   | calm     | med  | glassy Δθ+1.5
  04   | E    |     3.0 (1) |   6.7   | gradient | med  | raw (no local calib yet)
  05   | ESE  |     2.9 (1) |   6.1   | gradient | med  | raw (no local calib yet)
  06   | SE   |     2.5 (1) |   5.6   | gradient | med  | raw (no local calib yet)
  07   | SE   |     4.8 (2) |  11.9   | calm     | med  | glassy Δθ+1.4
  08   | SSW  |     1.3 (1) |   6.5   | calm     | med  | glassy Δθ+1.2
  09   | NNW  |     1.7 (1) |   5.6   | thermal  | med  | raw (no local calib yet) Δθ+0.9
  10   | NNE  |     1.3 (1) |   4.0   | thermal  | med  | raw (no local calib yet) Δθ-0.7
  11   | NW   |     4.7 (2) |   9.6   | thermal  | med  | raw (no local calib yet) Δθ-0.9
  12   | NNW  |     3.9 (1) |  14.9   | thermal  | med  | raw (no local calib yet) Δθ-0.8
  13   | NNW  |     3.1 (1) |   5.9   | thermal  | med  | raw (no local calib yet) Δθ-1.2
  14   | NW   |     2.9 (1) |   6.2   | thermal  | med  | raw (no local calib yet) Δθ-1.4
  15   | NW   |     2.5 (1) |   6.1   | thermal  | med  | raw (no local calib yet) Δθ-1.4
  16   | NE   |     2.9 (1) |   7.6   | thermal  | med  | raw (no local calib yet) Δθ-1.4
  17   | NE   |     3.3 (1) |   8.3   | thermal  | med  | raw (no local calib yet) Δθ-0.3
  18   | N    |     4.9 (2) |  17.6   | gradient | med  | raw (no local calib yet)
  19   | WNW  |     4.4 (2) |  19.2   | gradient | low  | raw (no local calib yet)
  20   | SSE  |     9.8 (3) |  26.4   | gradient | low  | raw (no local calib yet)
  21   | S    |     7.2 (3) |  17.0   | gradient | med  | 
  22   | S    |     4.4 (2) |  12.8   | gradient | med  | raw (no local calib yet)
  23   | S    |     4.7 (2) |  10.7   | gradient | med  | raw (no local calib yet)
