Kochelsee — 2026-08-08
  dominant thermal; peak 5.3 kn (2 Bft) NE ~16h · gusts to 11.3 kn ~18h
  Hour | Dir  | Mean kn (Bft) | Gust kn | Regime   | Conf | Note
  00   | SE   |     1.4 (1) |   3.3   | calm     | med  | glassy
  01   | ESE  |     1.8 (1) |   3.3   | calm     | med  | glassy
  02   | SSE  |     1.6 (1) |   3.4   | calm     | med  | glassy
  03   | ESE  |     1.6 (1) |   3.5   | calm     | med  | glassy
  04   | SE   |     1.4 (1) |   3.3   | calm     | med  | glassy
  05   | ESE  |     1.2 (1) |   2.8   | calm     | med  | glassy
  06   | ENE  |     1.2 (1) |   2.6   | calm     | med  | glassy
  07   | N    |     3.4 (1) |   4.2   | calm     | high | glassy
  08   | N    |     1.4 (1) |   4.7   | calm     | high | glassy
  09   | NNW  |     1.6 (1) |   5.3   | thermal  | high | 
  10   | NNW  |     1.1 (1) |   3.9   | thermal  | med  | raw (no local calib yet)
  11   | N    |     4.5 (2) |   7.9   | thermal  | med  | raw (no local calib yet)
  12   | N    |     2.6 (1) |   9.0   | thermal  | high | 
  13   | NNE  |     3.8 (1) |   7.0   | thermal  | med  | raw (no local calib yet)
  14   | NNE  |     4.3 (2) |   7.9   | thermal  | med  | raw (no local calib yet)
  15   | NNE  |     5.1 (2) |   9.8   | thermal  | med  | raw (no local calib yet)
  16   | NE   |     5.3 (2) |  10.4   | thermal  | med  | raw (no local calib yet)
  17   | NE   |     5.2 (2) |  11.0   | thermal  | med  | raw (no local calib yet)
  18   | NE   |     5.3 (2) |  11.3   | thermal  | med  | raw (no local calib yet)
  19   | ENE  |     4.6 (2) |  11.3   | thermal  | med  | raw (no local calib yet)
  20   | E    |     2.6 (1) |  10.7   | gradient | high | 
  21   | SE   |     1.4 (1) |   5.3   | calm     | med  | glassy
  22   | ESE  |     0.1 (0) |   2.1   | calm     | high | glassy
  23   | E    |     1.4 (1) |   3.6   | calm     | high | glassy
