Kochelsee — 2026-08-09
  dominant calm/capped; peak 5.5 kn (2 Bft) WSW ~21h · gusts to 23.3 kn ~21h
  Hour | Dir  | Mean kn (Bft) | Gust kn | Scenario   | Conf | Note
  00   | ENE  |     1.3 (1) |   3.6   | calm     | med  | cold-pool capped Δθ+2.0
  01   | NE   |     1.0 (1) |   2.8   | calm     | med  | cold-pool capped Δθ+1.6
  02   | ENE  |     1.0 (1) |   2.8   | calm     | med  | cold-pool capped Δθ+3.4
  03   | E    |     0.8 (0) |   3.1   | calm     | med  | cold-pool capped Δθ+2.3
  04   | NE   |     0.5 (0) |   2.0   | calm     | med  | cold-pool capped Δθ+2.5
  05   | NE   |     0.6 (0) |   2.0   | calm     | med  | cold-pool capped Δθ+2.7
  06   | NE   |     0.7 (0) |   2.4   | calm     | med  | cold-pool capped Δθ+2.6
  07   | NE   |     2.7 (1) |   3.4   | calm     | high | cold-pool capped Δθ+3.4
  08   | N    |     0.8 (0) |   3.1   | calm     | high | cold-pool capped Δθ+4.0
  09   | NW   |     0.7 (0) |   3.0   | calm     | med  | cold-pool capped Δθ+3.1
  10   | NW   |     1.9 (1) |   3.2   | calm     | high | cold-pool capped Δθ+1.6
  11   | NW   |     3.8 (1) |   3.8   | thermal  | high | Δθ-0.5
  12   | WNW  |     2.1 (1) |   4.5   | thermal  | high | Δθ-1.6
  13   | NNW  |     1.4 (1) |   4.6   | calm     | med  | glassy Δθ-1.7
  14   | N    |     1.9 (1) |   5.9   | calm     | med  | glassy Δθ-1.5
  15   | NNE  |     1.9 (1) |   7.0   | gradient | med  | raw (no local calib yet)
  16   | NNE  |     1.5 (1) |   5.6   | thermal  | med  | raw (no local calib yet) Δθ-1.3
  17   | NE   |     1.4 (1) |   4.1   | thermal  | med  | raw (no local calib yet) Δθ-1.2
  18   | SE   |     1.8 (1) |   5.0   | calm     | med  | glassy Δθ-0.9
  19   | ESE  |     1.4 (1) |   4.6   | thermal  | med  | raw (no local calib yet) Δθ-0.7
  20   | VAR  |     2.5 (1) |   5.5   | gradient | low  | 
  21   | WSW  |     5.5 (2) |  23.3   | gradient | med  | 
  22   | ESE  |     3.2 (1) |  11.0   | gradient | med  | raw (no local calib yet)
  23   | SSE  |     2.9 (1) |   9.0   | gradient | med  | raw (no local calib yet)
