Kochelsee — 2026-08-12
  dominant thermal-favourable; peak 5.6 kn (2 Bft) NNE ~15h · gusts to 11.5 kn ~19h
  Hour | Dir  | Mean kn (Bft) | Gust kn | Scenario   | Conf | Note
  00   | ESE  |     0.8 (0) |   3.3   | calm     | med  | glassy
  01   | ESE  |     1.1 (1) |   2.4   | calm     | med  | glassy
  02   | W    |     0.6 (0) |   2.5   | calm     | med  | glassy
  03   | W    |     0.6 (0) |   2.0   | calm     | med  | glassy
  04   | NE   |     0.8 (0) |   1.8   | calm     | med  | glassy
  05   | WNW  |     0.8 (0) |   1.9   | calm     | med  | glassy
  06   | N    |     0.9 (0) |   2.8   | calm     | high | glassy
  07   | N    |     1.3 (1) |   3.7   | calm     | high | glassy
  08   | NW   |     0.3 (0) |   2.4   | calm     | high | glassy
  09   | NNW  |     1.5 (1) |   3.3   | thermal  | high | 
  10   | N    |     0.9 (0) |   3.4   | thermal  | med  | raw (no local calib yet)
  11   | N    |     2.4 (1) |   4.7   | thermal  | high | 
  12   | N    |     2.3 (1) |   5.4   | thermal  | high | 
  13   | N    |     2.9 (1) |   7.5   | thermal  | med  | raw (no local calib yet)
  14   | NNE  |     5.2 (2) |   9.9   | thermal  | med  | raw (no local calib yet)
  15   | NNE  |     5.6 (2) |  10.8   | thermal  | med  | raw (no local calib yet)
  16   | NNE  |     5.6 (2) |  11.0   | thermal  | med  | raw (no local calib yet)
  17   | NE   |     5.4 (2) |  10.9   | thermal  | med  | raw (no local calib yet)
  18   | NE   |     5.2 (2) |  11.1   | thermal  | med  | raw (no local calib yet)
  19   | NE   |     5.0 (2) |  11.5   | thermal  | med  | raw (no local calib yet)
  20   | ENE  |     2.6 (1) |   8.7   | gradient | high | 
  21   | ENE  |     0.0 (0) |   3.5   | calm     | high | glassy
  22   | SSE  |     0.3 (0) |   1.8   | calm     | high | glassy
  23   | ESE  |     1.2 (1) |   1.7   | calm     | high | glassy
