Walchensee — 2026-08-02
  dominant thermal; peak 6 kn (2 Bft) SW ~18h
  Hour | Dir  | Mean kn (Bft) | Gust kn | Regime   | Conf | Note
  00   | SSW  |     3.4 (1) |   7.0   | gradient | med  | raw (no local calib yet)
  01   | SW   |     2.1 (1) |   7.0   | gradient | med  | raw (no local calib yet)
  02   | SE   |     2.8 (1) |   4.1   | gradient | med  | raw (no local calib yet)
  03   | SW   |     1.4 (1) |   5.1   | calm     | med  | glassy
  04   | W    |     0.2 (0) |   1.7   | calm     | med  | glassy
  05   | E    |     0.2 (0) |   1.2   | calm     | med  | glassy
  06   | NW   |     1.2 (1) |   1.6   | calm     | med  | glassy
  07   | SSE  |     1.7 (1) |   2.1   | calm     | med  | glassy
  08   | N    |     1.2 (1) |   2.5   | calm     | med  | glassy
  09   | NNE  |     1.6 (1) |   5.1   | calm     | med  | glassy
  10   | NNE  |     1.2 (1) |   3.7   | calm     | med  | glassy
  11   | N    |     2.0 (1) |   4.7   | thermal  | med  | raw (no local calib yet)
  12   | N    |     4.8 (2) |   9.6   | thermal  | med  | raw (no local calib yet)
  13   | N    |     4.5 (2) |   9.3   | thermal  | med  | raw (no local calib yet)
  14   | N    |     5.4 (2) |  10.5   | thermal  | med  | raw (no local calib yet)
  15   | NNW  |     5.8 (2) |   9.1   | thermal  | med  | raw (no local calib yet)
  16   | NNW  |     5.9 (2) |   8.6   | gradient | med  | raw (no local calib yet)
  17   | NW   |     5.2 (2) |   9.7   | gradient | low  | raw (no local calib yet)
  18   | SW   |     6.3 (2) |  30.1   | gradient | low  | raw (no local calib yet)
  19   | SSE  |     0.6 (0) |  10.3   | calm     | med  | glassy
  20   | SE   |     1.9 (1) |   3.1   | calm     | med  | glassy
  21   | S    |     2.0 (1) |   5.2   | gradient | med  | raw (no local calib yet)
  22   | SSE  |     4.1 (2) |   7.0   | gradient | med  | raw (no local calib yet)
  23   | SSE  |     4.3 (2) |   7.8   | gradient | med  | raw (no local calib yet)
