Walchensee — 2026-08-05
  dominant thermal; peak 9.2 kn (3 Bft) NNE ~12h · gusts to 67.9 kn ~19h
  Hour | Dir  | Mean kn (Bft) | Gust kn | Regime   | Conf | Note
  00   | SSW  |     3.6 (1) |   9.0   | gradient | med  | raw (no local calib yet)
  01   | SSW  |     3.7 (1) |   7.1   | gradient | med  | raw (no local calib yet)
  02   | S    |     3.6 (1) |   7.7   | gradient | med  | raw (no local calib yet)
  03   | SSW  |     3.1 (1) |   6.8   | gradient | med  | raw (no local calib yet)
  04   | SSW  |     2.1 (1) |   5.7   | gradient | med  | raw (no local calib yet)
  05   | SSE  |     1.6 (1) |   4.1   | calm     | med  | glassy
  06   | SE   |     1.7 (1) |   3.5   | calm     | med  | glassy
  07   | S    |     2.5 (1) |   4.8   | gradient | med  | raw (no local calib yet)
  08   | SSW  |     1.7 (1) |   4.6   | calm     | med  | glassy
  09   | SW   |     1.2 (1) |   4.9   | thermal  | med  | raw (no local calib yet)
  10   | N    |     1.9 (1) |   5.3   | thermal  | med  | raw (no local calib yet)
  11   | NNE  |     4.4 (2) |   7.8   | thermal  | med  | raw (no local calib yet)
  12   | NNE  |     9.2 (3) |   9.2   | thermal  | med  | raw (no local calib yet)
  13   | N    |     8.5 (3) |   8.5   | thermal  | med  | raw (no local calib yet)
  14   | N    |     8.0 (3) |  12.0   | thermal  | med  | raw (no local calib yet)
  15   | N    |     7.8 (3) |  12.2   | thermal  | med  | raw (no local calib yet)
  16   | NNE  |     6.0 (2) |  10.2   | gradient | med  | raw (no local calib yet)
  17   | NNE  |     4.9 (2) |  15.8   | thermal  | med  | raw (no local calib yet)
  18   | NNE  |     5.4 (2) |   8.9   | gradient | med  | raw (no local calib yet)
  19   | SSW  |     7.8 (3) |  67.9   | gradient | low  | 
  20   | E    |     4.0 (1) |  17.2   | gradient | low  | raw (no local calib yet)
  21   | S    |     3.2 (1) |   9.3   | gradient | med  | raw (no local calib yet)
  22   | S    |     3.3 (1) |   7.0   | gradient | med  | raw (no local calib yet)
  23   | S    |     3.5 (1) |   7.1   | gradient | med  | raw (no local calib yet)
