Walchensee — 2026-08-06
  dominant gradient; peak 6.3 kn (2 Bft) NNE ~16h · gusts to 11.5 kn ~16h
  Hour | Dir  | Mean kn (Bft) | Gust kn | Regime   | Conf | Note
  00   | E    |     2.2 (1) |   7.7   | gradient | med  | raw (no local calib yet)
  01   | SSW  |     3.4 (1) |   7.5   | gradient | med  | raw (no local calib yet)
  02   | S    |     2.5 (1) |   6.7   | gradient | med  | raw (no local calib yet)
  03   | SSW  |     2.6 (1) |   5.8   | gradient | med  | raw (no local calib yet)
  04   | S    |     2.6 (1) |   5.8   | gradient | med  | raw (no local calib yet)
  05   | SSW  |     2.6 (1) |   5.3   | gradient | med  | raw (no local calib yet)
  06   | S    |     2.6 (1) |   5.0   | gradient | med  | raw (no local calib yet)
  07   | SSW  |     2.3 (1) |   5.4   | gradient | med  | raw (no local calib yet)
  08   | NE   |     1.0 (1) |   5.0   | calm     | med  | glassy
  09   | NNE  |     2.5 (1) |   6.1   | gradient | med  | raw (no local calib yet)
  10   | NNE  |     4.1 (2) |   8.8   | gradient | med  | raw (no local calib yet)
  11   | NNE  |     5.3 (2) |   9.2   | gradient | med  | raw (no local calib yet)
  12   | NNE  |     5.5 (2) |   9.6   | gradient | med  | raw (no local calib yet)
  13   | NNE  |     5.4 (2) |  10.1   | gradient | med  | raw (no local calib yet)
  14   | N    |     5.2 (2) |   9.9   | gradient | med  | raw (no local calib yet)
  15   | N    |     4.5 (2) |  10.1   | gradient | med  | raw (no local calib yet)
  16   | NNE  |     6.3 (2) |  11.5   | gradient | med  | raw (no local calib yet)
  17   | N    |     3.4 (1) |   8.9   | gradient | med  | raw (no local calib yet)
  18   | E    |     1.7 (1) |   6.1   | calm     | med  | glassy
  19   | SSE  |     1.7 (1) |   5.1   | calm     | med  | glassy
  20   | S    |     2.3 (1) |   5.4   | gradient | med  | raw (no local calib yet)
  21   | SSW  |     2.2 (1) |   5.0   | gradient | med  | raw (no local calib yet)
  22   | S    |     2.6 (1) |   5.3   | gradient | med  | raw (no local calib yet)
  23   | S    |     2.6 (1) |   5.2   | gradient | med  | raw (no local calib yet)
