Walchensee — 2026-08-08
  dominant thermal; peak 9.8 kn (3 Bft) N ~17h · gusts to 16.6 kn ~17h
  Hour | Dir  | Mean kn (Bft) | Gust kn | Regime   | Conf | Note
  00   | S    |     2.2 (1) |   4.5   | gradient | med  | raw (no local calib yet)
  01   | S    |     2.7 (1) |   5.1   | gradient | med  | raw (no local calib yet)
  02   | S    |     3.1 (1) |   5.5   | gradient | med  | raw (no local calib yet)
  03   | S    |     3.4 (1) |   5.8   | gradient | med  | raw (no local calib yet)
  04   | S    |     3.6 (1) |   6.4   | gradient | med  | raw (no local calib yet)
  05   | S    |     3.4 (1) |   6.4   | gradient | med  | raw (no local calib yet)
  06   | S    |     4.1 (2) |   7.2   | gradient | med  | raw (no local calib yet)
  07   | S    |     2.3 (1) |   5.1   | gradient | med  | raw (no local calib yet)
  08   | S    |     1.0 (1) |   4.1   | calm     | med  | cold-pool capped Δθ+3.9
  09   | NNE  |     1.3 (1) |   4.6   | calm     | med  | cold-pool capped Δθ+2.6
  10   | NNE  |     1.3 (1) |   5.0   | thermal  | med  | raw (no local calib yet) Δθ+0.8
  11   | N    |     6.9 (2) |   8.2   | thermal  | med  | raw (no local calib yet) Δθ-0.2
  12   | N    |     9.1 (3) |   9.8   | thermal  | high | Δθ-0.2
  13   | N    |     9.0 (3) |   9.3   | thermal  | high | Δθ-1.1
  14   | N    |     8.7 (3) |  12.7   | thermal  | high | Δθ-0.9
  15   | N    |     9.5 (3) |  13.2   | thermal  | high | Δθ-0.9
  16   | N    |     8.0 (3) |  12.2   | thermal  | med  | raw (no local calib yet) Δθ-0.7
  17   | N    |     9.8 (3) |  16.6   | thermal  | med  | raw (no local calib yet) Δθ-0.4 gust capped at ensemble ceiling
  18   | NNE  |     6.1 (2) |  12.1   | thermal  | med  | raw (no local calib yet) Δθ+0.1
  19   | NE   |     5.1 (2) |  10.8   | thermal  | med  | raw (no local calib yet) Δθ+0.4
  20   | ENE  |     3.5 (1) |   9.3   | gradient | med  | raw (no local calib yet)
  21   | SE   |     2.3 (1) |   6.4   | gradient | med  | raw (no local calib yet)
  22   | SE   |     2.8 (1) |   4.7   | gradient | med  | raw (no local calib yet)
  23   | S    |     3.7 (1) |   6.4   | gradient | med  | raw (no local calib yet)
