Walchensee — 2026-08-09
  dominant strong-gradient; peak 8.9 kn (3 Bft) NNE ~15h · gusts to 15.3 kn ~17h
  Hour | Dir  | Mean kn (Bft) | Gust kn | Scenario   | Conf | Note
  00   | S    |     3.7 (1) |   6.9   | gradient | med  | raw (no local calib yet)
  01   | S    |     3.6 (1) |   7.1   | gradient | med  | raw (no local calib yet)
  02   | S    |     3.5 (1) |   6.8   | gradient | med  | raw (no local calib yet)
  03   | S    |     3.8 (1) |   7.4   | gradient | med  | raw (no local calib yet)
  04   | S    |     3.6 (1) |   7.4   | gradient | med  | raw (no local calib yet)
  05   | S    |     3.5 (1) |   6.8   | gradient | med  | raw (no local calib yet)
  06   | S    |     5.3 (2) |   9.2   | gradient | high | 
  07   | S    |     4.2 (2) |   7.8   | gradient | high | 
  08   | S    |     4.2 (2) |   7.1   | gradient | med  | raw (no local calib yet)
  09   | SSW  |     2.0 (1) |   5.6   | calm     | med  | cold-pool capped Δθ+3.1
  10   | SW   |     1.4 (1) |   4.9   | calm     | med  | cold-pool capped Δθ+1.6
  11   | NW   |     3.1 (1) |   7.5   | thermal  | high | Δθ-0.5
  12   | NNE  |     5.6 (2) |   8.5   | gradient | med  | raw (no local calib yet)
  13   | NNE  |     6.1 (2) |   9.7   | gradient | med  | raw (no local calib yet)
  14   | NNE  |     7.5 (3) |  11.4   | gradient | med  | raw (no local calib yet)
  15   | NNE  |     8.9 (3) |  13.4   | gradient | med  | raw (no local calib yet)
  16   | NNE  |     7.7 (3) |  11.8   | thermal  | med  | raw (no local calib yet) Δθ-1.3
  17   | NNE  |     6.9 (2) |  15.3   | thermal  | high | Δθ-1.2
  18   | NE   |     3.8 (1) |   7.1   | gradient | high | 
  19   | SSE  |     1.7 (1) |   5.7   | calm     | med  | glassy Δθ-0.7
  20   | WSW  |     3.4 (1) |   6.1   | gradient | med  | raw (no local calib yet)
  21   | W    |     6.2 (2) |  13.3   | gradient | med  | raw (no local calib yet)
  22   | SW   |     4.2 (2) |   9.2   | gradient | med  | raw (no local calib yet)
  23   | SW   |     4.4 (2) |   9.5   | gradient | med  | raw (no local calib yet)
