Walchensee — 2026-08-10
  dominant strong-gradient; peak 9.9 kn (3 Bft) NNW ~16h · gusts to 17.2 kn ~17h
  Hour | Dir  | Mean kn (Bft) | Gust kn | Scenario   | Conf | Note
  00   | SW   |     5.0 (2) |  10.2   | gradient | med  | raw (no local calib yet)
  01   | SSW  |     4.5 (2) |   9.7   | gradient | med  | raw (no local calib yet)
  02   | S    |     4.2 (2) |   8.7   | gradient | med  | raw (no local calib yet)
  03   | S    |     4.7 (2) |   8.7   | gradient | med  | raw (no local calib yet)
  04   | SSW  |     5.0 (2) |   9.9   | gradient | med  | raw (no local calib yet)
  05   | SSW  |     4.6 (2) |  10.1   | gradient | med  | raw (no local calib yet)
  06   | SSW  |     5.7 (2) |  11.7   | gradient | high | 
  07   | SSW  |     4.2 (2) |   9.2   | gradient | high | 
  08   | SSW  |     5.8 (2) |   9.8   | gradient | med  | raw (no local calib yet)
  09   | SSW  |     3.2 (1) |   7.9   | gradient | med  | raw (no local calib yet)
  10   | SSW  |     1.9 (1) |   6.6   | calm     | med  | glassy Δθ-0.6
  11   | SSW  |     2.4 (1) |   6.7   | calm     | med  | glassy Δθ-0.6
  12   | NNW  |     5.6 (2) |  10.0   | thermal  | high | Δθ-0.7
  13   | N    |     6.9 (2) |  12.1   | gradient | high | 
  14   | NW   |     7.7 (3) |  12.3   | gradient | high | 
  15   | N    |     9.8 (3) |  14.3   | gradient | high | 
  16   | NNW  |     9.9 (3) |  16.0   | gradient | high | 
  17   | N    |     8.9 (3) |  17.2   | thermal  | high | Δθ-0.6
  18   | N    |     6.0 (2) |  11.8   | thermal  | med  | raw (no local calib yet) Δθ-0.7
  19   | N    |     3.6 (1) |  10.3   | thermal  | med  | raw (no local calib yet) Δθ-0.2
  20   | WSW  |     3.4 (1) |   8.4   | gradient | med  | raw (no local calib yet)
  21   | VAR  |     3.8 (1) |   8.0   | gradient | low  | raw (no local calib yet)
  22   | SW   |     4.0 (2) |   7.9   | gradient | med  | raw (no local calib yet)
  23   | SSW  |     4.8 (2) |  11.5   | gradient | med  | raw (no local calib yet)
